Product_Name,Sales,Date,Month
The Ultimate History Buff Challenge: Over 600 Quiz Questions for Curious History Lovers,13.79,2020-03-08 11:44:56.359379119,3
"The Ultimate Book of Random Fun Facts: Over 1000 Interesting Facts And Trivia Quizzes About History, Science, Sports, Animals, Space and Anything In Between!",12.72,2020-01-30 13:45:45.118898649,1
Winter Flurries of Fun: Flurries of snow outside while flurries of fun are happening inside!,12.0,2020-07-09 11:35:51.482151264,7
"Book Lovers Cut & Collage Ephemera: 275+ High-Quality Images for Art Journaling, Scrapbooking, Junk Journals, Mixed Media, Cardmaking, ATCs & Papercraft Projects",19.99,2020-01-06 07:13:25.360049856,1
Family Vision Board Clip Art Book: Inspiring Pictures and Words to Manifest Perfect Life | An Extensive Collection of Clip Art Magazines |More ... for Visualizing Your Life Goals & Dreams,11.99,2020-05-16 18:29:52.592090957,5
The Movement Mastery Collection,18.99,2020-07-18 22:23:40.423040986,7
Baseball Obscura 2026,17.66,2020-09-30 06:53:19.746734088,9
"2026 Interior Design Trends Magazine: From Quiet Luxury to Joyful Maximalism — Curated Ideas, Innovative Styles, Color Palettes, Materials, and Mood Board Book to Inspire Every Room",15.49,2020-08-13 11:33:39.670588539,8
"SUMMER ADVENTURE LIST,ITALY",15.99,2020-08-23 22:39:24.381125659,8
I Spy Dinosaurs: Find the Dino friends playing hide and seek! A cute search and find dinosaur book for toddlers 2-5 (I Spy Books for Toddlers),13.99,2020-05-21 16:46:09.079737897,5
Opal’s Cozy School Moments,7.99,2020-12-06 07:07:42.017586300,12
"White Interior Design Magazine: Neutral Home Inspiration & Cozy Decor Ideas Lookbook in All-White, Cream, Grey, and Faded Linen — From Minimal to Rustic Calm",15.49,2020-08-30 22:37:21.537511252,8
The Ultimate History Buff Challenge: Over 600 Quiz Questions for Curious History Lovers,13.79,2020-01-24 04:09:12.540799848,1
"The Ultimate Book of Random Fun Facts: Over 1000 Interesting Facts And Trivia Quizzes About History, Science, Sports, Animals, Space and Anything In Between!",12.72,2020-01-16 00:30:43.304838144,1
Baseball Obscura 2026,17.66,2020-12-11 09:31:08.083013473,12
"NFL Coloring Book: Activity Book with All 32 American Football Team Logos, Fun Facts, and Trivia! (All-Star Sports Showdown: Trivia, Facts, and Coloring Fun)",14.99,2020-03-28 09:46:26.645126444,3
"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",12.24,2020-05-19 00:03:42.215796301,5
